id,vae_x,vae_y,vae_eventTags,vae_cluster_label,tft_x,tft_y,tft_eventTags,tft_cluster_label
193-1,2.2078378,4.139755,Equipment::Overhead Equipment::Splice or Deadend/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEvents::Fault::Nonspecific Fault/r/nEquipment::Substation::Nonspecific Substation,0,3.1689327,1.4346884,Equipment::Overhead Equipment::Splice or Deadend/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEvents::Fault::Nonspecific Fault/r/nEquipment::Substation::Nonspecific Substation,0
194-1,-1.9240428,3.277259,Events::Fault::Cable Fault/r/nEquipment::Underground Equipment::Primary Cable,0,2.4218345,1.9691356,Events::Fault::Cable Fault/r/nEquipment::Underground Equipment::Primary Cable,0
196-1,0.7739518,2.7224927,Equipment::Overhead Equipment::Conductor/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,0,0.47881046,3.8526707,Equipment::Overhead Equipment::Conductor/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,0
197-1,1.0272529,4.142481,Events::Fault::Cable Fault/r/nEquipment::Underground Equipment::Primary Cable/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,0,1.1972744,3.6448004,Events::Fault::Cable Fault/r/nEquipment::Underground Equipment::Primary Cable/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,0
198-1,-0.39139333,1.8650537,Equipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Circuit Breaker/r/nConditions::Equipment Conditions::Conductor off insulator/r/nEquipment::Substation::Nonspecific Substation,0,-0.89287776,4.3279705,Equipment::Overhead Equipment::Conductor/r/nEquipment::Overhead Equipment::Insulator/r/nEquipment::Interrupting Device::Circuit Breaker/r/nConditions::Equipment Conditions::Conductor off insulator/r/nEquipment::Substation::Nonspecific Substation,0
199-1,0.37559837,2.5942044,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::UG Connector/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0,0.2263769,4.026063,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::UG Connector/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0
200-1,1.8194306,3.427752,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::UG Connector/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0,0.11531496,4.0399513,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::UG Connector/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0
201-1,2.8098564,5.0034633,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::UG Connector/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0,1.3166212,6.2672267,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::UG Connector/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0
202-1,2.359563,5.054392,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::UG Connector/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0,1.8709465,6.6990805,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::UG Connector/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0
204-1,-1.5452297,2.6020522,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0,2.4959815,6.938197,Events::Equipment Failure::Equipment Failure/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Underground Equipment::Nonspecific Underground Equipment,0
